date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 17:00:00,60,30,19.890,47.597,19.200,44.790,19.790,44.730,19.000,45.567,17.167,55.200,7.027,84.257,17.200,41.627,18.200,48.900,17.033,45.530,6.600,733.500,92.000,7.000,63.000,5.300,13.275,13.275
2016-01-11 17:10:00,60,30,19.890,46.693,19.200,44.722,19.790,44.790,19.000,45.992,17.167,55.200,6.833,84.063,17.200,41.560,18.200,48.863,17.067,45.560,6.483,733.600,92.000,6.667,59.167,5.200,18.606,18.606
2016-01-11 17:20:00,50,30,19.890,46.300,19.200,44.627,19.790,44.933,18.927,45.890,17.167,55.090,6.560,83.157,17.200,41.433,18.200,48.730,17.000,45.500,6.367,733.700,92.000,6.333,55.333,5.100,28.643,28.643
2016-01-11 17:30:00,50,40,19.890,46.067,19.200,44.590,19.790,45.000,18.890,45.723,17.167,55.090,6.433,83.423,17.133,41.290,18.100,48.590,17.000,45.400,6.250,733.800,92.000,6.000,51.500,5.000,45.410,45.410
2016-01-11 17:40:00,60,40,19.890,46.333,19.200,44.530,19.790,45.000,18.890,45.530,17.200,55.090,6.367,84.893,17.200,41.230,18.100,48.590,17.000,45.400,6.133,733.900,92.000,5.667,47.667,4.900,10.084,10.084
2016-01-11 17:50:00,50,40,19.890,46.027,19.200,44.500,19.790,44.933,18.890,45.730,17.133,55.030,6.300,85.767,17.133,41.260,18.100,48.590,17.000,45.290,6.017,734.000,92.000,5.333,43.833,4.800,44.919,44.919
2016-01-11 18:00:00,60,50,19.890,45.767,19.200,44.500,19.790,44.900,18.890,45.790,17.100,54.967,6.263,86.090,17.133,41.200,18.100,48.590,17.000,45.290,5.900,734.100,92.000,5.000,40.000,4.700,47.234,47.234
2016-01-11 18:10:00,60,50,19.857,45.560,19.200,44.500,19.730,44.900,18.890,45.863,17.100,54.900,6.190,86.423,17.100,41.200,18.100,48.590,17.000,45.290,5.917,734.167,91.833,5.167,40.000,4.683,33.040,33.040
2016-01-11 18:20:00,60,40,19.790,45.597,19.200,44.433,19.730,44.790,18.890,45.790,17.167,55.000,6.123,87.227,17.167,41.400,18.100,48.590,17.000,45.290,5.933,734.233,91.667,5.333,40.000,4.667,31.456,31.456
2016-01-11 18:30:00,70,40,19.857,46.090,19.230,44.400,19.790,44.863,18.890,46.097,17.100,55.000,6.190,87.627,17.200,41.500,18.100,48.590,17.000,45.290,5.950,734.300,91.500,5.500,40.000,4.650,3.089,3.089
2016-01-11 18:40:00,230,70,19.927,45.863,19.357,44.400,19.790,44.900,18.890,46.430,17.100,55.000,6.190,87.867,17.247,42.718,18.100,48.590,17.000,45.290,5.967,734.367,91.333,5.667,40.000,4.633,10.299,10.299
2016-01-11 18:50:00,580,60,20.067,46.397,19.427,44.400,19.790,44.827,19.000,46.430,17.100,55.000,6.123,87.993,17.530,44.263,18.067,48.633,16.890,45.290,5.983,734.433,91.167,5.833,40.000,4.617,8.828,8.828
2016-01-11 19:00:00,430,50,20.133,48.000,19.567,44.400,19.890,44.900,19.000,46.363,17.100,55.090,6.123,88.590,17.823,45.493,18.067,48.560,16.963,45.290,6.000,734.500,91.000,6.000,40.000,4.600,34.351,34.351
2016-01-11 19:10:00,250,40,20.260,52.727,19.730,45.100,19.890,45.493,19.000,47.223,17.100,55.163,6.067,88.215,17.963,46.160,18.033,48.667,16.890,45.327,6.000,734.617,90.500,6.000,40.000,4.517,19.205,19.205
2016-01-11 19:20:00,100,10,20.427,55.893,19.857,45.833,20.033,47.527,19.000,48.697,17.100,55.500,5.900,88.157,17.963,45.533,18.100,49.193,16.890,45.345,6.000,734.733,90.000,6.000,40.000,4.433,38.492,38.492
2016-01-11 19:30:00,100,10,20.567,53.893,20.033,46.757,20.100,48.467,19.000,48.490,17.150,56.042,5.800,88.367,17.890,44.927,18.150,49.200,16.890,45.327,6.000,734.850,89.500,6.000,40.000,4.350,24.885,24.885
2016-01-11 19:40:00,90,10,20.730,52.660,20.167,47.223,20.200,48.530,18.927,48.157,17.167,56.490,5.727,88.160,17.760,44.267,18.230,49.633,16.890,45.290,6.000,734.967,89.000,6.000,40.000,4.267,35.881,35.881
2016-01-11 19:50:00,70,30,20.857,53.660,20.200,47.057,20.200,48.447,18.890,47.963,17.200,56.933,5.527,87.300,17.700,43.727,18.357,50.027,16.890,45.290,6.000,735.083,88.500,6.000,40.000,4.183,49.595,49.595
2016-01-11 20:00:00,80,30,20.890,51.193,20.200,46.330,20.200,48.193,18.963,48.630,17.200,57.060,5.333,86.760,17.667,43.160,18.533,50.200,16.890,45.200,6.000,735.200,88.000,6.000,40.000,4.100,19.002,19.002
2016-01-11 20:10:00,140,40,20.890,49.800,20.200,46.027,20.167,47.633,19.033,49.500,17.593,70.727,5.333,87.463,17.600,42.693,18.667,50.260,16.890,45.200,6.000,735.233,87.833,6.000,40.000,4.067,38.872,38.872
2016-01-11 20:20:00,120,20,20.890,48.433,20.200,45.722,20.167,47.300,19.175,49.947,18.067,79.000,5.467,87.530,17.600,42.333,18.730,50.230,16.890,45.127,6.000,735.267,87.667,6.000,40.000,4.033,46.735,46.735
2016-01-11 20:30:00,190,40,20.963,47.633,20.260,45.530,20.200,47.027,19.260,49.697,17.667,79.730,5.500,86.957,17.533,42.067,18.857,50.290,16.890,45.127,6.000,735.300,87.500,6.000,40.000,4.000,10.607,10.607
2016-01-11 20:40:00,110,40,21.033,47.063,20.290,45.223,20.260,46.827,19.323,49.167,17.600,79.257,5.560,86.563,17.633,43.633,18.890,50.163,16.890,45.060,6.000,735.333,87.333,6.000,40.000,3.967,32.584,32.584
2016-01-11 20:50:00,110,40,21.100,46.597,20.357,44.963,20.290,46.633,19.390,48.427,17.567,78.393,5.623,86.330,17.760,43.633,18.963,50.030,16.890,45.000,6.000,735.367,87.167,6.000,40.000,3.933,6.278,6.278
2016-01-11 21:00:00,110,30,21.133,46.060,20.427,44.760,20.290,46.433,19.390,48.193,17.760,82.460,5.763,86.063,17.857,43.460,19.000,49.760,16.890,44.967,6.000,735.400,87.000,6.000,40.000,3.900,13.361,13.361
2016-01-11 21:10:00,110,20,21.200,45.800,20.500,44.760,20.390,46.223,19.390,47.800,18.357,82.590,5.657,85.590,17.790,43.400,19.067,49.700,16.890,44.900,5.933,735.467,87.167,6.000,40.000,3.867,19.306,19.306
2016-01-11 21:20:00,100,30,21.290,45.900,20.533,45.090,20.390,46.090,19.390,47.560,18.357,70.990,5.530,85.730,17.890,43.790,19.133,49.633,16.890,44.790,5.867,735.533,87.333,6.000,40.000,3.833,0.670,0.670
2016-01-11 21:30:00,100,20,21.357,45.827,20.667,45.163,20.390,46.090,19.390,47.500,18.600,62.430,5.433,86.327,17.890,43.790,19.200,49.433,16.890,44.790,5.800,735.600,87.500,6.000,40.000,3.800,19.119,19.119
2016-01-11 21:40:00,100,20,21.390,45.690,20.700,45.060,20.390,46.090,19.427,47.993,18.667,59.030,5.500,86.600,17.890,43.700,19.230,49.400,16.890,44.700,5.733,735.667,87.667,6.000,40.000,3.767,43.485,43.485
